id,Unknown,Straight_and_Level,Straight_and_Grade,Straight_at_Hill_Crest,Curve_and_Level,Curve_and_Grade,Curve_at_Hill_Crest
Lattingtown,1,24,3,1,8,7,1
Waverly,6,41,10,3,5,10,1
Alden,11,82,7,1,11,1,
North Tonawanda,33,228,7,2,8,1,
Winfield,,21,2,,2,2,
Washington,2,47,11,1,14,17,2
Lake Success,9,329,29,7,35,23,1
Cambria,3,85,8,5,7,2,
Kenmore,22,151,1,,1,,
Conesus,7,38,11,1,5,10,
Stamford,2,18,8,1,3,6,2
Fonda,1,15,3,,2,,
Ellisburg,4,70,10,2,8,4,
Aurora,15,61,29,2,13,13,
Mansfield,3,5,1,,7,12,
Elmsford,17,168,54,2,17,59,11
Somerset,5,20,1,,2,1,
Willsboro,4,19,5,3,1,10,
Thomaston,1,21,5,2,1,2,1
Johnsburg,3,42,24,4,11,23,1
Patterson,7,114,43,3,17,29,5
Elizabethtown,2,24,13,2,3,14,1
Marcy,5,107,40,4,23,15,
Marlborough,8,77,44,4,14,22,1
Oneida Castle,1,6,3,,,,
Watervliet,9,123,10,2,6,3,1
Pine Plains,7,28,9,4,9,8,
Niles,,12,5,,2,5,
Rye,16,130,14,5,18,24,4
Champion,3,34,13,,1,6,
Fenton,5,63,16,5,14,11,
New Hyde Park,12,169,3,1,1,,1
Masonville,2,8,12,3,2,7,
Boonville,9,63,23,,11,10,
Franklin,9,41,24,2,17,30,2
Leicester,4,47,17,4,7,6,3
Mendon,28,98,29,9,17,9,
Wawayanda,15,173,77,6,18,20,1
Sandy Creek,2,59,9,,5,2,
East Otto,4,6,2,1,3,6,
Corinth,3,46,16,,9,12,4
East Rockaway,5,101,,,16,,
Westford,,1,4,,,4,
Hume,2,11,8,,3,7,
Pelham,8,126,19,9,5,6,2
Islandia,10,229,39,7,13,3,
Cairo,3,110,31,3,14,9,
Waterloo,9,128,6,2,5,2,
Seneca Falls,7,120,14,2,6,3,1
Savannah,2,18,11,1,3,1,
Granby,7,55,8,5,10,1,1
Ellicott,12,101,60,4,10,15,3
Van Buren,10,173,38,1,21,16,2
Watson,1,14,5,2,10,3,1
